task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	cf/8338c6	3452714	CNVFINDER:DOWNLOAD_QC:FASTP (Trimming ERR304775)	COMPLETED	0	2026-06-25 10:47:41.183	4.3s	4s	322.9%	1.1 GB	1.7 GB	73.4 MB	58.7 MB
4	d2/5610d1	3453470	CNVFINDER:MAP_READS:BWA (Indexing and mapping ERR304775)	COMPLETED	0	2026-06-25 10:47:51.074	12.8s	12s	298.9%	1.1 GB	22.3 GB	83.1 MB	389.6 MB
3	85/baf6a6	3454875	CNVFINDER:DOWNLOAD_QC:FASTQC (Fastqc on ERR304775)	COMPLETED	0	2026-06-25 10:48:08.962	16.5s	16s	106.7%	563.5 MB	3.6 GB	70.1 MB	3.8 MB
1	35/f640c2	3456377	CNVFINDER:BUILD_REFERENCE:GCFILE (Making the GC File for ERR304775)	COMPLETED	0	2026-06-25 10:48:28.299	9.2s	9s	103.0%	126.5 MB	2.3 GB	93.7 MB	5.2 MB
6	3e/717963	3457465	CNVFINDER:BUILD_REFERENCE:CONFIG (Making config file for ERR304775)	COMPLETED	0	2026-06-25 10:48:37.631	7.7s	7s	83.0%	131.4 MB	2.3 GB	47.3 MB	41.6 KB
5	f7/8918e1	3460763	CNVFINDER:DOWNLOAD_QC:MULTIQC (Multiqc)	COMPLETED	0	2026-06-25 10:49:35.770	15.6s	14.9s	67.3%	513.1 MB	11.5 GB	84.7 MB	18 MB
7	cd/180dc8	3460517	CNVFINDER:MAP_READS:BAM (Converting ERR304775 SAM to BAM and making read depth file)	COMPLETED	0	2026-06-25 10:49:34.012	1m 2s	1m 2s	121.3%	4.9 GB	19 GB	5.2 GB	4.7 GB
8	25/313681	3465740	CNVFINDER:CALL_CNVS:CNVPREDICT (Calling CNVs for ERR304775)	COMPLETED	0	2026-06-25 10:50:36.692	1m 25s	1m 24s	106.7%	146.8 MB	2.4 GB	12.5 GB	281.4 MB
